Experiment ID	luminose_hf_goNogo
Animal ID	LUMI-0013
Researcher	Test
Directory path	


Number	Start Time	End Time	Time From Start	Channel	Annotation
178	03/25/26 18:02:42.264	03/25/26 18:02:42.264	74.7487	EEG1	TTL 3: Rise
179	03/25/26 18:02:42.264	03/25/26 18:02:42.264	74.7487	EEG2	TTL 3: Rise
180	03/25/26 18:02:42.264	03/25/26 18:02:42.264	74.7487	EMG	TTL 3: Rise
181	03/25/26 18:02:43.263	03/25/26 18:02:43.263	75.7482	EEG1	TTL 3: Fall
182	03/25/26 18:02:43.263	03/25/26 18:02:43.263	75.7482	EEG2	TTL 3: Fall
183	03/25/26 18:02:43.263	03/25/26 18:02:43.263	75.7482	EMG	TTL 3: Fall
184	03/25/26 18:02:48.263	03/25/26 18:02:48.263	80.7482	EEG1	TTL 3: Rise
185	03/25/26 18:02:48.263	03/25/26 18:02:48.263	80.7482	EEG2	TTL 3: Rise
186	03/25/26 18:02:48.263	03/25/26 18:02:48.263	80.7482	EMG	TTL 3: Rise
187	03/25/26 18:02:49.264	03/25/26 18:02:49.264	81.7489	EEG1	TTL 3: Fall
188	03/25/26 18:02:49.264	03/25/26 18:02:49.264	81.7489	EEG2	TTL 3: Fall
189	03/25/26 18:02:49.264	03/25/26 18:02:49.264	81.7489	EMG	TTL 3: Fall
190	03/25/26 18:02:50.267	03/25/26 18:02:50.267	82.7521	EEG1	TTL 3: Rise
191	03/25/26 18:02:50.267	03/25/26 18:02:50.267	82.7521	EEG2	TTL 3: Rise
192	03/25/26 18:02:50.267	03/25/26 18:02:50.267	82.7521	EMG	TTL 3: Rise
193	03/25/26 18:02:51.270	03/25/26 18:02:51.270	83.7549	EEG1	TTL 3: Fall
194	03/25/26 18:02:51.270	03/25/26 18:02:51.270	83.7549	EEG2	TTL 3: Fall
195	03/25/26 18:02:51.270	03/25/26 18:02:51.270	83.7549	EMG	TTL 3: Fall
196	03/25/26 18:02:51.849	03/25/26 18:02:51.849	84.3336	EEG1	TTL 3: Rise
197	03/25/26 18:02:51.849	03/25/26 18:02:51.849	84.3336	EEG2	TTL 3: Rise
198	03/25/26 18:02:51.849	03/25/26 18:02:51.849	84.3336	EMG	TTL 3: Rise
199	03/25/26 18:02:51.886	03/25/26 18:02:51.886	84.3712	EEG1	TTL 3: Fall
200	03/25/26 18:02:51.886	03/25/26 18:02:51.886	84.3712	EEG2	TTL 3: Fall
201	03/25/26 18:02:51.886	03/25/26 18:02:51.886	84.3712	EMG	TTL 3: Fall
202	03/25/26 18:02:52.911	03/25/26 18:02:52.911	85.3957	EEG1	TTL 3: Rise
203	03/25/26 18:02:52.911	03/25/26 18:02:52.911	85.3957	EEG2	TTL 3: Rise
